problem,inst,time_CPU,choices,conflicts,backtracks,backjumps,restarts,jumps,atoms,rules,bodies,equivalences,variables,eliminated,frozen,constraints,nHornClauses,nDualHornClauses,maxClauseSize,maxPositiveClauseSize,maxNegativeClauseSize,numVPosLitH,numVPosLit,numVNegLitH,numVNegLit,maxPosRSizeC,maxPosRSizeNC,numAtomOccC,numAtomOccNC,maxNumAtomOcc,maxNumPosOccA,maxNumNegOccA,dWidth,dEdges,dNodes,iWidth,iEdges,iNodes,rEdges0,rNodes0,rWidths0,rEdges1,rNodes1,rWidths1,rEdges2,rNodes2,rWidths2,rEdges3,rNodes3,rWidths3,rEdges4,rNodes4,rWidths4,rEdges5,rNodes5,rWidths5,rEdges6,rNodes6,rWidths6,rEdges7,rNodes7,rWidths7,rEdges8,rNodes8,rWidths8,rEdges9,rNodes9,rWidths9,problem_width
MazeGeneration,maze-generation-width=21-height=21-density=0.01-run=4,0.016,832,139,0,139,1,139,3485,6128,3796,6118,2058,0,1704,7686,2798,1623,361,361,2,715,355,715,355,361,5,13160,3933,1999,1999,9,120,14401,4951,,14401,4951,10216,4951,84,14177,4951,118,14233,4951,116,13096,4951,98,12715,4951,89,14282,4951,118,14359,4951,112,14273,4951,118,14381,4951,117,13993,4951,118,
HanoiTower,mgs_towers-hanoi.110_7,8.672,238745,91372,20,91352,254,91352,23177,62950,54124,40344,32816,0,2280,111915,6634,38605,22,22,1,14639,6105,3191,0,22,4,166192,7110,17174,17174,3,,170272,79516,,170272,79516,146893,79516,,167119,79516,,169787,79516,,156100,79516,,168659,79516,,169215,79516,,169834,79516,,169061,79516,,169257,79516,,160392,79516,,
HanoiTower,mgs_towers-hanoi.113_7,6.313,225454,72633,35,72598,220,72598,23806,64679,55614,41401,33760,0,2350,114595,6816,39670,22,22,1,15040,6273,3278,0,22,4,170754,7325,17642,17642,3,,174970,81699,,174970,81699,158181,81699,,167996,81699,,168165,81699,,163149,81699,,172982,81699,,173373,81699,,174345,81699,,171038,81699,,173267,81699,,166721,81699,,
HanoiTower,mgs_towers-hanoi.16_50.6,1.047,30466,22318,4,22314,92,22314,6394,37319,13459,3560,3707,0,496,11674,10864,22438,10,10,1,1631,1563,207,207,10,3,87598,20509,14702,14702,36,,107426,42964,,107426,42964,90480,42964,,104732,42964,,105838,42964,,105554,42964,,106662,42964,,102326,42964,,107150,42964,,105886,42964,,107002,42964,,102834,42964,,
HanoiTower,mgs_towers-hanoi.30_7,0.156,8651,2735,13,2722,14,2722,6459,17286,14774,11083,8552,0,602,28108,1836,10460,22,22,1,3911,1618,871,0,22,4,44523,2831,4694,4694,3,,46486,21856,,46486,21856,40922,21856,,44562,21856,,44474,21856,,43858,21856,,45952,21856,,46304,21856,,46056,21856,,46232,21856,,46154,21856,,45078,21856,,
HanoiTower,mgs_towers-hanoi.32_7,0.141,5412,1951,5,1946,13,1946,6874,18404,15736,11839,9094,0,639,30345,1953,11146,22,22,1,4187,1737,929,0,22,4,47557,2869,5006,5006,3,,49501,23268,,49501,23268,45142,23268,,43707,23268,,49501,23268,,47552,23268,,49152,23268,,48917,23268,,49470,23268,,48657,23268,,49317,23268,,48101,23268,,
HanoiTower,mgs_towers-hanoi.33_6,0.984,39229,30736,6,30730,175,30730,6207,36209,13057,3456,3589,0,477,11261,10536,21768,10,10,1,1580,1514,200,200,10,3,84880,20002,14265,14265,36,,104220,41687,489,104220,41687,99510,41687,,101926,41687,,99636,41687,,102326,41687,,101298,41687,,102788,41687,,102752,41687,,98136,41687,,102424,41687,,99736,41687,,
HanoiTower,mgs_towers-hanoi.36_6,1.563,56490,43330,8,43322,154,43322,6768,39539,14263,3766,3939,0,528,12654,11520,23778,10,10,1,1731,1659,219,219,10,3,92874,21683,15576,15576,36,,113838,45518,,113838,45518,101586,45518,,112322,45518,,109488,45518,,110664,45518,,112786,45518,,111270,45518,,113378,45518,,112138,45518,,112848,45518,,107128,45518,,
HanoiTower,mgs_towers-hanoi.39_6,1.25,50624,36255,7,36248,140,36248,7329,42869,15469,4080,4285,0,567,13517,12504,25788,10,10,1,1880,1802,236,236,10,3,100708,23524,16887,16887,36,,123456,49349,,123456,49349,115460,49349,,109136,49349,,116974,49349,,122996,49349,,123084,49349,,119732,49349,,120924,49349,,121740,49349,,122496,49349,,119580,49349,,
HanoiTower,mgs_towers-hanoi.41_7,0.828,33809,20588,4,20584,69,20584,9348,55318,19874,5192,5648,0,681,18378,16206,33364,11,11,1,2414,2332,290,290,11,3,132612,27881,21743,21743,40,,159592,63685,,159592,63685,150710,63685,,150468,63685,,158012,63685,,147116,63685,,150980,63685,,157628,63685,,157092,63685,,157364,63685,,157680,63685,,154512,63685,,
HanoiTower,mgs_towers-hanoi.70_7,1.672,72793,26354,46,26308,100,26308,14817,40110,34440,25717,20682,0,1443,70138,4234,24528,22,22,1,9279,3865,2031,0,22,4,105352,4950,10934,10934,3,,108352,50676,,108352,50676,92720,50676,,107062,50676,,98245,50676,,104756,50676,,107300,50676,,108193,50676,,107688,50676,,108282,50676,,108240,50676,,104103,50676,,
HanoiTower,mgs_towers-hanoi.73_7,2.516,92749,32044,17,32027,125,32027,15443,41815,35911,26797,21560,0,1502,73364,4413,25578,22,22,1,9674,4026,2118,0,22,4,109900,5101,11402,11402,3,,112969,52829,,112969,52829,104019,52829,,104753,52829,,108666,52829,,112697,52829,,110060,52829,,111130,52829,,112445,52829,,112585,52829,,112116,52829,,105301,52829,,
HanoiTower,mgs_towers-hanoi.77_7,1.75,70247,24035,13,24022,88,24022,16282,44123,37900,28279,22709,0,1583,77188,4656,27002,22,22,1,10209,4250,2234,0,22,4,115998,5381,12026,12026,3,,119242,55743,,119242,55743,94904,55743,,114800,55743,,118813,55743,,117897,55743,,118023,55743,,117550,55743,,118727,55743,,119052,55743,,117827,55743,,113638,55743,,
HanoiTower,mgs_towers-hanoi.80_7,3.406,115335,43530,25,43505,130,43505,16906,45812,39352,29360,23638,0,1647,80649,4833,28042,22,22,1,10619,4425,2321,0,22,4,120565,5461,12494,12494,3,,123805,57876,74,123805,57876,106318,57876,,112315,57876,,121778,57876,,117478,57876,,122835,57876,,121214,57876,,123039,57876,,123510,57876,,123534,57876,,122051,57876,,
HanoiTower,mgs_towers-hanoi.83_7,1.781,72953,25468,21,25447,93,25447,17531,47509,40813,30438,24492,0,1706,83683,5011,29085,22,22,1,11000,4572,2408,0,22,4,125110,5589,12962,12962,3,,128395,60019,,128395,60019,118989,60019,,109301,60019,,126318,60019,,124293,60019,,126908,60019,,126697,60019,,126439,60019,,127814,60019,,128143,60019,,124322,60019,,
HanoiTower,mgs_towers-hanoi.87_7,3.25,123567,42751,17,42734,148,42734,18371,49825,42811,31915,25741,0,1793,87676,5255,30515,22,22,1,11550,4811,2524,0,22,4,131214,5889,13586,13586,3,,134695,62943,,134695,62943,129978,62943,,127161,62943,,121450,62943,,132367,62943,,128201,62943,,134352,62943,,134478,62943,,134322,62943,,134522,62943,,126478,62943,,
HanoiTower,mgs_towers-hanoi.90_7,4.906,141461,53472,50,53422,187,53422,18998,51538,44288,32980,26648,0,1854,91077,5435,31577,22,22,1,11945,4971,2611,0,22,4,135772,6056,14054,14054,3,,139339,65106,,139339,65106,125046,65106,,135458,65106,,135647,65106,,136226,65106,,136336,65106,,137883,65106,,138313,65106,,138167,65106,,138828,65106,,126653,65106,,
HanoiTower,mgs_towers-hanoi.93_7,3.609,137634,47092,32,47060,156,47060,19625,53251,45766,34126,27559,0,1919,93956,5615,32631,22,22,1,12354,5146,2698,0,22,4,140329,6224,14522,14522,3,,143983,67269,,143983,67269,117920,67269,,142567,67269,,140829,67269,,138187,67269,,142788,67269,,142693,67269,,143553,67269,,143680,67269,,143618,67269,,135642,67269,,
HanoiTower,mgs_towers-hanoi.97_7,5.219,167460,61068,36,61032,189,61032,20460,55527,47723,35583,28875,0,2008,98223,5854,34029,22,22,1,12897,5377,2814,0,22,4,146425,6402,15146,15146,3,,150148,70143,,150148,70143,137916,70143,,136664,70143,,147952,70143,,149296,70143,,149477,70143,,149868,70143,,149579,70143,,150045,70143,,148994,70143,,136048,70143,,
RandomNonTight,n50-sat-b19.lp,6.75,212889,188414,12,188402,722,188402,51,703,703,9,708,0,708,4767,736,649,7,4,3,50,50,50,50,4,0,4459,0,113,63,57,,4390,787,,4390,787,1654,787,,3792,787,,4169,787,,4275,787,,4379,787,,4372,787,,4384,787,,4384,787,,4390,787,,4381,787,,
GeneralizedSlitherlink,penrose.11.asp,0.031,385,115,13,102,1,102,2720,6518,5122,3145,3899,0,1292,12345,1839,1572,829,221,827,1134,388,623,0,221,5,103534,1433,1536,1536,1407,,35657,4875,,35657,4875,9338,4875,,35466,4875,,34481,4875,,35372,4875,,35513,4875,,34952,4875,,35465,4875,,35259,4875,,35424,4875,,34992,4875,,
GeneralizedSlitherlink,penrose.12.asp,0.047,305,111,8,103,1,103,2783,6746,5256,3257,3980,0,1350,19777,1869,1605,829,221,827,1167,399,627,0,221,5,103765,1460,1551,1551,1407,,35900,4986,,35900,4986,10116,4986,,35255,4986,,35790,4986,,34581,4986,,35550,4986,,35807,4986,,35779,4986,,35645,4986,,34542,4986,,35398,4986,,
GeneralizedSlitherlink,penrose.31.asp,0.047,430,173,14,159,2,159,2725,6526,5134,3167,3683,0,1298,10914,1843,1573,829,221,827,1105,375,615,0,221,5,103521,1460,1538,1538,1407,,35669,4883,,35669,4883,10416,4883,52,35240,4883,,33984,4883,,35639,4883,,35635,4883,,35571,4883,,35650,4883,,33780,4883,,35586,4883,,35010,4883,,
GeneralizedSlitherlink,penrose.34.asp,0.031,240,88,8,80,1,80,2764,6670,5218,3221,3670,0,1315,9344,1863,1592,829,221,827,1108,373,615,0,221,5,103627,1508,1548,1548,1407,,35813,4951,,35813,4951,9281,4951,,34513,4951,,35773,4951,,35784,4951,,35692,4951,,35264,4951,,35431,4951,,35700,4951,,35313,4951,,35056,4951,,
GeneralizedSlitherlink,penrose.35.asp,0.047,392,124,1,123,2,123,2769,6694,5233,3229,3696,0,1314,8761,1865,1595,829,221,827,1109,375,614,0,221,5,103661,1496,1549,1549,1407,,35834,4960,,35834,4960,9558,4960,,35242,4960,,34981,4960,,35728,4960,,35293,4960,,35802,4960,,35613,4960,,35256,4960,,35342,4960,,35203,4960,,
GeneralizedSlitherlink,penrose.44.asp,0.047,550,195,5,190,2,190,2751,6621,5185,3217,3802,0,1342,11238,1855,1587,829,221,827,1129,383,620,0,221,5,103619,1470,1544,1544,1407,,35771,4929,,35771,4929,10046,4929,48,35649,4929,,34598,4929,,35066,4929,,35733,4929,,34846,4929,,35336,4929,,35771,4929,,35029,4929,,35319,4929,,
GeneralizedSlitherlink,penrose.45.asp,0.031,390,134,7,127,1,127,2734,6568,5153,3165,3777,0,1324,11108,1847,1578,829,221,827,1111,380,614,0,221,5,103546,1473,1540,1540,1407,,35705,4899,,35705,4899,9782,4899,48,34866,4899,,35294,4899,,34924,4899,,35413,4899,,35656,4899,,35358,4899,,34758,4899,,35101,4899,,35533,4899,,
GeneralizedSlitherlink,penrose.48.asp,0.078,1226,450,6,444,5,444,2764,6691,5210,3252,3823,0,1323,11039,1861,1594,829,221,827,1137,388,617,0,221,5,103671,1472,1547,1547,1407,,35822,4952,,35822,4952,9119,4952,,35018,4952,,34694,4952,,35297,4952,,35786,4952,,35665,4952,,35636,4952,,35069,4952,,35818,4952,,35488,4952,,
GeneralizedSlitherlink,penrose.50.asp,0.047,268,111,6,105,1,105,2790,6769,5270,3278,3558,0,1226,7688,1877,1604,829,221,827,1097,366,609,0,221,5,103670,1565,1555,1555,1407,,35906,4996,,35906,4996,8842,4996,,35009,4996,,35549,4996,,35902,4996,,35658,4996,,35466,4996,,35775,4996,,35836,4996,,35245,4996,,35309,4996,,
GeneralizedSlitherlink,penrose.60.asp,0.031,341,120,6,114,1,114,2778,6696,5237,3240,3793,0,1289,10803,1869,1600,829,221,827,1118,380,612,0,221,5,103700,1495,1551,1551,1407,,35870,4976,,35870,4976,8989,4976,,34774,4976,,35741,4976,,35544,4976,,35674,4976,,35816,4976,,35255,4976,,35135,4976,,35860,4976,,35443,4976,,
GeneralizedSlitherlink,penrosesmall.5.asp,0.016,39,29,1,28,0,28,521,1275,1018,575,755,0,224,2224,367,300,160,46,158,220,72,122,0,46,5,5929,270,300,300,205,,3227,958,,3227,958,1641,958,,3210,958,,3085,958,,3097,958,,3227,958,,3133,958,,3227,958,,3065,958,,3154,958,,,,,
HamiltonianPath,random.2.lp,0.047,1591,1037,2,1035,7,1035,2013,5490,1910,1867,1748,0,874,5598,719,1223,12,12,1,1225,524,701,0,12,7,7625,879,289,289,1,,7306,2890,,7306,2890,3756,2890,,6265,2890,,6874,2890,,7182,2890,,7162,2890,,7306,2890,,7267,2890,,7279,2890,,7286,2890,,7251,2890,,51
HamiltonianPath,random.5.lp,0.172,6131,3830,3,3827,28,3827,2031,5615,2004,1863,1803,0,854,5803,735,1262,13,13,1,1264,539,725,0,13,6,7767,857,295,295,1,,7427,2948,,7427,2948,4442,2948,,6361,2948,,7227,2948,,6974,2948,,7120,2948,,7328,2948,,7359,2948,,7261,2948,,7391,2948,,7301,2948,,54
HamiltonianPath,random.8.lp,0.141,4206,2991,3,2988,15,2988,2012,5604,1961,1863,1757,0,853,5709,721,1228,13,13,1,1231,526,705,0,13,9,7704,867,293,293,1,,7378,2899,,7378,2899,3841,2899,,6467,2899,,7117,2899,,7240,2899,,7080,2899,,7295,2899,,7370,2899,,7363,2899,,7378,2899,,7178,2899,,49
WeightBoundedDominatingSet,rand_100_400_1159666138_1.lp,3.234,50565,37161,4,37157,136,37157,3905,6911,1001,2932,7493,0,70,21402,100,167,101,101,2,294,100,170,100,101,2,1722,1316,101,101,1,,1640,803,,1640,803,861,803,,1483,803,,1552,803,,1597,803,,1634,803,,1613,803,,1628,803,,1630,803,,1633,803,,1623,803,,44
WeightBoundedDominatingSet,rand_100_400_1159666138_13.lp,0.875,15811,10906,4,10902,53,10902,3760,6531,868,2895,6984,0,99,19715,100,165,101,101,2,285,100,169,100,101,2,1715,1294,101,101,1,,1633,792,,1633,792,995,792,,1395,792,,1554,792,,1557,792,,1588,792,,1619,792,,1605,792,,1632,792,,1629,792,,1620,792,,39
WeightBoundedDominatingSet,rand_100_400_1159666138_19.lp,0.047,1429,697,0,697,5,697,3903,6770,851,2955,7312,0,100,20649,100,170,101,101,2,287,100,172,100,101,2,1740,1312,101,101,1,,1658,809,,1658,809,1180,809,,1263,809,,1571,809,,1604,809,,1644,809,,1623,809,,1641,809,,1647,809,,1649,809,,1632,809,,42
WeightBoundedDominatingSet,rand_100_400_1159666138_2.lp,12.0,170210,130452,0,130452,412,130452,3891,6795,893,2931,7363,0,94,20863,100,164,101,101,2,275,100,166,100,101,2,1718,1304,101,101,1,,1634,791,,1634,791,863,791,,1486,791,,1593,791,,1580,791,,1590,791,,1619,791,,1610,791,,1627,791,,1628,791,,1617,791,,42
WeightBoundedDominatingSetSuite,rand_100_400_1159666138_3.gph,1.672,32281,22686,0,22686,99,22686,3955,6874,858,2945,7509,0,103,21238,100,162,101,101,2,272,163,163,163,101,2,1694,1324,101,101,1,,1624,786,,1624,786,773,786,,1486,786,,1592,786,,1581,786,,1606,786,,1616,786,,1612,786,,1620,786,,1617,786,,1601,786,,43
WeightBoundedDominatingSet,rand_100_400_1159666138_3.lp,1.469,26493,18268,2,18266,79,18266,3955,6874,858,2945,7509,0,103,21238,100,162,101,101,2,272,100,163,100,101,2,1694,1324,101,101,1,,1624,786,,1624,786,821,786,,1570,786,,1559,786,,1551,786,,1592,786,,1589,786,,1602,786,,1619,786,,1615,786,,1593,786,,43
WeightBoundedDominatingSet,rand_100_400_1159666138_5.lp,0.078,1828,985,5,980,6,980,3955,6920,899,2939,7533,0,88,21322,100,168,101,101,2,285,100,169,100,101,2,1721,1304,101,101,1,,1637,804,,1637,804,828,804,,1395,804,,1608,804,,1633,804,,1626,804,,1630,804,,1620,804,,1625,804,,1635,804,,1628,804,,42
WeightBoundedDominatingSet,rand_100_400_1159666138_6.lp,2.031,34351,24617,9,24608,103,24608,3832,6591,818,2939,7103,0,107,20005,100,161,101,101,2,270,100,164,100,101,2,1686,1312,101,101,1,,1606,781,,1606,781,783,781,,1469,781,,1602,781,,1547,781,,1593,781,,1586,781,,1594,781,,1582,781,,1602,781,,1584,781,,43
WeightBoundedDominatingSet,rand_100_400_1159666138_7.lp,0.75,13614,9508,3,9505,45,9505,3769,6544,881,2923,6985,0,100,19739,100,166,101,101,2,277,100,170,100,101,2,1721,1308,101,101,1,,1645,795,,1645,795,773,795,,1560,795,,1552,795,,1621,795,,1622,795,,1627,795,,1635,795,,1642,795,,1644,795,,1633,795,,42
WeightBoundedDominatingSet,rand_100_400_1159666138_8.lp,9.109,134512,103611,0,103611,291,103611,3942,6806,802,2926,7446,0,114,20999,100,161,101,101,2,267,100,162,100,101,2,1697,1306,101,101,1,,1621,783,,1621,783,765,783,,1499,783,,1577,783,,1581,783,,1594,783,,1607,783,,1613,783,,1617,783,,1615,783,,1611,783,,42
WeightBoundedDominatingSet,rand_100_400_1159666138_9.lp,27.516,341794,270094,0,270094,765,270094,3945,6877,867,2943,7501,0,103,21252,100,160,101,101,2,258,100,161,100,101,2,1675,1314,101,101,1,,1603,780,,1603,780,888,780,,1407,780,,1545,780,,1575,780,,1603,780,,1580,780,,1584,780,,1588,780,,1598,780,,1568,780,,41
HamiltonianCycle,rand_100_800_1155012316_1.gph,0.031,4775,408,0,408,4,408,5203,7802,3688,6603,4087,0,3273,5874,100,1787,27,27,1,2500,800,100,0,27,2,13187,2902,300,300,1,,11987,6402,,11987,6402,8438,6402,,11766,6402,,10711,6402,,11566,6402,,11403,6402,,11878,6402,,11986,6402,178,11948,6402,,11983,6402,,11620,6402,,59
HamiltonianCycle,rand_100_800_1155012316_11.gph,0.031,3613,280,1,279,2,279,5203,7820,3708,6603,4089,0,3277,5896,100,1789,27,27,1,2500,800,100,0,27,2,13189,2902,300,300,1,,11989,6402,,11989,6402,8780,6402,,11761,6402,,11868,6402,,11167,6402,,11073,6402,,11959,6402,,11451,6402,,11988,6402,,11445,6402,,11869,6402,,60
HamiltonianCycle,rand_100_800_1155012316_9.gph,0.031,4812,443,1,442,4,442,5203,7802,3682,6603,4081,0,3261,5862,100,1781,28,28,1,2500,800,100,0,28,2,13181,2902,300,300,1,,11981,6402,,11981,6402,8552,6402,,11723,6402,,11705,6402,,11518,6402,,11431,6402,,11386,6402,,11441,6402,,11860,6402,,11973,6402,,11679,6402,,63
HamiltonianCycle,rand_150_1200_1154711577_4.gph,0.109,12432,1137,0,1137,7,1137,7803,11730,5563,9903,6134,0,4917,8846,150,2684,27,27,1,3750,1200,150,0,27,2,19784,4352,450,450,1,,17984,9602,,17984,9602,12540,9602,,16352,9602,,17803,9602,,16167,9602,,17984,9602,,17350,9602,,17984,9602,,17968,9602,,17979,9602,,17848,9602,,96
WeightBoundedDominatingSet,rand_150_600_1159731678_11.lp,0.016,1237,531,1,530,4,530,2487,3410,1289,4369,1249,0,174,4016,150,248,151,151,2,421,150,251,150,151,2,2580,1974,151,151,1,,2464,1196,,2464,1196,1414,1196,,2247,1196,,2384,1196,,2312,1196,,2401,1196,,2459,1196,,2353,1196,,2460,1196,,2457,1196,,2447,1196,,61
WeightBoundedDominatingSet,rand_150_600_1159731678_12.lp,3.484,160952,115842,5,115837,396,115837,2480,3424,1312,4354,1267,0,177,4102,150,252,151,151,2,417,150,254,150,151,2,2583,1962,151,151,1,,2465,1205,,2465,1205,1535,1205,,1905,1205,,2315,1205,,2434,1205,,2465,1205,,2455,1205,,2459,1205,,2453,1205,,2465,1205,,2453,1205,,61
WeightBoundedDominatingSet,rand_150_600_1159731678_14.lp,0.125,8501,5014,0,5014,30,5014,2491,3408,1295,4373,1251,0,180,3984,150,254,151,151,2,414,150,257,150,151,2,2614,1972,151,151,1,,2498,1214,120,2498,1214,1166,1214,,2277,1214,,2415,1214,,2450,1214,,2481,1214,,2496,1214,,2478,1214,,2495,1214,,2497,1214,,2494,1214,,64
WeightBoundedDominatingSet,rand_150_600_1159731678_15.lp,1.031,11062,6738,0,6738,30,6738,7187,12805,1263,4420,15001,0,152,42011,150,241,151,151,2,405,150,249,150,151,2,2532,1968,151,151,1,,2414,1170,,2414,1170,1231,1170,,2250,1170,,2364,1170,,2312,1170,,2400,1170,,2364,1170,,2410,1170,,2378,1170,,2389,1170,,2370,1170,,62
WeightBoundedDominatingSet,rand_150_600_1159731678_17.lp,81.0,671968,494245,8,494237,1243,494237,7089,12625,1256,4383,14745,0,137,41309,150,238,151,151,2,419,150,248,150,151,2,2532,1956,151,151,1,,2408,1163,116,2408,1163,2030,1163,,1694,1163,,2158,1163,,2304,1163,,2346,1163,,2353,1163,,2374,1163,,2388,1163,,2390,1163,,2370,1163,,62
WeightBoundedDominatingSet,rand_150_600_1159731678_3.lp,2.422,131697,93184,3,93181,341,93181,2481,3377,1276,4351,1228,0,174,3948,150,255,151,151,2,419,150,257,150,151,2,2604,1958,151,151,1,,2484,1214,,2484,1214,1211,1214,,2267,1214,,2332,1214,,2471,1214,,2455,1214,,2468,1214,,2478,1214,,2480,1214,,2475,1214,,2480,1214,,65
WeightBoundedDominatingSet,rand_150_600_1159731678_5.lp,204.266,1505165,1134199,0,1134199,2506,1134199,7183,12863,1311,4399,15064,0,138,42289,150,238,151,151,2,411,150,247,150,151,2,2530,1962,151,151,1,,2408,1164,,2408,1164,1153,1164,,2215,1164,,2349,1164,,2354,1164,,2378,1164,,2392,1164,,2387,1164,,2395,1164,,2401,1164,,2379,1164,,60
WeightBoundedDominatingSet,rand_150_600_1159731678_6.lp,0.172,11758,7174,0,7174,40,7174,2494,3356,1248,4370,1209,0,185,3817,150,257,151,151,2,419,150,258,150,151,2,2610,1978,151,151,1,,2500,1221,,2500,1221,1161,1221,,2342,1221,,2372,1221,,2435,1221,,2487,1221,,2493,1221,,2500,1221,,2482,1221,,2500,1221,,2497,1221,,61
WeightBoundedDominatingSetSuite,rand_150_600_1159731678_7.gph,0.625,38126,25485,7,25478,123,25478,2480,3418,1300,4331,1283,0,176,4145,150,247,151,151,2,419,250,250,250,151,2,2565,1972,151,151,1,,2451,1189,,2451,1189,1359,1189,,2001,1189,,2415,1189,,2396,1189,,2443,1189,,2436,1189,,2421,1189,,2441,1189,,2448,1189,,2435,1189,,62
WeightBoundedDominatingSet,rand_150_600_1159731678_7.lp,5.844,280774,204683,3,204680,651,204680,2480,3418,1300,4331,1283,0,176,4145,150,247,151,151,2,419,150,250,150,151,2,2565,1972,151,151,1,,2451,1189,,2451,1189,1569,1189,,2328,1189,,1998,1189,,2345,1189,,2415,1189,,2403,1189,,2423,1189,,2444,1189,,2435,1189,,2434,1189,,62
WeightBoundedDominatingSet,rand_150_600_1159731678_8.lp,0.109,7352,4546,10,4536,30,4536,2492,3565,1439,4351,1417,0,168,4715,150,250,151,151,2,434,150,256,150,151,2,2596,1966,151,151,1,,2470,1207,,2470,1207,1118,1207,,2199,1207,,2453,1207,,2421,1207,,2460,1207,,2470,1207,,2461,1207,,2459,1207,,2465,1207,,2464,1207,,63
GraphPartitioning,rand_15_75_1235849326_0_k=3_v=7_e=30_sat.gph,0.016,33,5,1,4,0,4,843,1844,1126,693,1692,0,765,5619,111,939,76,76,14,333,45,105,42,76,2,3810,368,84,84,14,,3768,1430,,3768,1430,3280,1430,,3477,1430,,3676,1430,,3430,1430,,3582,1430,,3626,1430,,3690,1430,,3654,1430,,3642,1430,,3716,1430,,11
HamiltonianCycle,rand_200_1800_1154991214_9.gph,0.063,7730,222,0,222,2,222,11603,17402,8174,14803,9173,0,7345,13146,200,3973,32,32,1,5600,1800,200,0,32,2,29573,6402,600,600,1,,26773,14202,,26773,14202,19603,14202,,25742,14202,,26641,14202,,25741,14202,,26050,14202,,26433,14202,,26676,14202,,25938,14202,,25214,14202,,25082,14202,,128
WeightBoundedDominatingSetSuite,rand_200_800_1159728969_10.gph,0.203,14540,7974,1,7973,45,7973,3321,4513,1691,6252,1647,0,244,5242,200,340,201,201,2,560,345,345,345,201,2,3495,2628,201,201,1,,3339,1620,,3339,1620,1497,1620,,3261,1620,,3038,1620,,3309,1620,,3303,1620,,3319,1620,,3330,1620,,3339,1620,,3339,1620,,3334,1620,,77
WeightBoundedDominatingSet,rand_200_800_1159728969_10.lp,0.609,35872,21673,3,21670,100,21670,3321,4513,1691,6252,1647,0,244,5242,200,340,201,201,2,560,200,345,200,201,2,3495,2628,201,201,1,,3339,1620,,3339,1620,1533,1620,,2944,1620,,3298,1620,,3308,1620,,3339,1620,,3321,1620,,3326,1620,,3326,1620,,3338,1620,,3335,1620,,77
WeightBoundedDominatingSet,rand_200_800_1159728969_11.lp,14.953,702059,489454,0,489454,1448,489454,3317,4580,1764,5796,1734,0,230,5615,200,332,201,201,2,575,200,337,200,201,2,3434,2634,201,201,1,,3280,1596,,3280,1596,1484,1596,,3175,1596,,3062,1596,,3198,1596,,3219,1596,,3263,1596,,3270,1596,,3273,1596,,3277,1596,,3275,1596,,80
WeightBoundedDominatingSetSuite,rand_200_800_1159728969_14.gph,0.016,1465,536,0,536,5,536,3320,4601,1771,5814,1727,0,237,5601,200,336,201,201,2,568,342,342,342,201,2,3487,2622,201,201,1,,3325,1615,,3325,1615,1713,1615,,2927,1615,,3294,1615,,3247,1615,,3266,1615,,3260,1615,,3323,1615,,3301,1615,,3301,1615,,3310,1615,,80
WeightBoundedDominatingSet,rand_200_800_1159728969_14.lp,0.016,1465,536,0,536,5,536,3320,4601,1771,5814,1727,0,237,5601,200,336,201,201,2,568,200,342,200,201,2,3487,2622,201,201,1,,3325,1615,,3325,1615,1713,1615,,2927,1615,,3294,1615,,3247,1615,,3266,1615,,3260,1615,,3323,1615,,3301,1615,,3301,1615,,3310,1615,,82
WeightBoundedDominatingSet,rand_200_800_1159728969_2.lp,0.672,37960,23409,8,23401,103,23401,3320,4572,1745,5828,1699,0,234,5501,200,332,201,201,2,543,200,336,200,201,2,3448,2632,201,201,1,,3290,1597,,3290,1597,1496,1597,,3060,1597,,3101,1597,,3261,1597,,3269,1597,,3281,1597,,3283,1597,,3285,1597,,3288,1597,,3286,1597,,84
WeightBoundedDominatingSet,rand_200_800_1159728969_4.lp,0.313,18424,10480,0,10480,53,10480,3312,4606,1779,5804,1745,0,234,5630,200,325,201,201,2,558,200,332,200,201,2,3418,2622,201,201,1,,3250,1577,,3250,1577,1426,1577,,3017,1577,,3129,1577,,3203,1577,,3227,1577,,3222,1577,,3246,1577,,3246,1577,,3249,1577,,3249,1577,,85
WeightBoundedDominatingSet,rand_200_800_1159728969_6.lp,0.906,49606,31554,0,31554,126,31554,3311,4486,1672,5802,1630,0,242,5196,200,332,201,201,2,550,200,335,200,201,2,3431,2620,201,201,1,,3271,1598,,3271,1598,1460,1598,,3058,1598,,3205,1598,,3218,1598,,3185,1598,,3251,1598,,3259,1598,,3263,1598,,3270,1598,,3269,1598,,84
WeightBoundedDominatingSet,rand_200_800_1159728969_7.lp,7.516,356176,244389,0,244389,763,244389,3319,4673,1853,5796,1828,0,228,5958,200,330,201,201,2,581,200,339,200,201,2,3454,2622,201,201,1,,3282,1590,,3282,1590,1478,1590,,3018,1590,,3176,1590,,3191,1590,,3259,1590,,3271,1590,,3274,1590,,3277,1590,,3280,1590,,3280,1590,,85
WeightBoundedDominatingSet,rand_200_800_1159728969_8.lp,1.219,65976,42006,1,42005,172,42005,3307,4547,1724,5827,1663,0,239,5365,200,321,201,201,2,534,200,329,200,201,2,3415,2628,201,201,1,,3251,1560,,3251,1560,1493,1560,,2870,1560,,3198,1560,,3201,1560,,3236,1560,,3236,1560,,3247,1560,,3250,1560,,3249,1560,,3251,1560,,86
