problem,inst,time_CPU,choices,conflicts,backtracks,backjumps,restarts,jumps,atoms,rules,bodies,equivalences,variables,eliminated,frozen,constraints,nHornClauses,nDualHornClauses,maxClauseSize,maxPositiveClauseSize,maxNegativeClauseSize,numVPosLitH,numVPosLit,numVNegLitH,numVNegLit,maxPosRSizeC,maxPosRSizeNC,numAtomOccC,numAtomOccNC,maxNumAtomOcc,maxNumPosOccA,maxNumNegOccA,dWidth,dEdges,dNodes,iWidth,iEdges,iNodes,rEdges0,rNodes0,rWidths0,rEdges1,rNodes1,rWidths1,rEdges2,rNodes2,rWidths2,rEdges3,rNodes3,rWidths3,rEdges4,rNodes4,rWidths4,rEdges5,rNodes5,rWidths5,rEdges6,rNodes6,rWidths6,rEdges7,rNodes7,rWidths7,rEdges8,rNodes8,rWidths8,rEdges9,rNodes9,rWidths9,problem_width
GraphColouring,graph-colouring-nodes=125-density=0.1-instance=2,0.047,2764,2151,0,2151,14,2151,2599,7518,5796,4195,750,0,0,5045,250,3920,6,6,1,750,625,0,0,6,1,13510,1848,3795,3795,1,,13135,5172,,13135,5172,11777,5172,,11677,5172,,12503,5172,,12851,5172,,12437,5172,,12791,5172,,12619,5172,,13069,5172,,12785,5172,,11751,5172,,70
GraphColouring,graph-colouring-nodes=125-density=0.1-instance=3,13.203,351853,309430,0,309430,1020,309430,2691,7840,6026,4379,750,0,0,5275,250,4150,6,6,1,750,625,0,0,6,1,14200,1940,4025,4025,1,,13825,5402,,13825,5402,12823,5402,,12493,5402,,13231,5402,,13251,5402,,13531,5402,,13395,5402,,13663,5402,,13207,5402,,13749,5402,,11833,5402,,69
GraphColouring,graph-colouring-nodes=125-density=0.1-instance=4,2.328,73042,62062,0,62062,252,62062,2653,7707,5931,4303,750,0,0,5180,250,4055,6,6,1,750,625,0,0,6,1,13915,1902,3930,3930,1,,13540,5307,,13540,5307,12422,5307,,12458,5307,,12720,5307,,12926,5307,,12892,5307,,13166,5307,,13124,5307,,13338,5307,,13370,5307,,11876,5307,,67
GraphColouring,graph-colouring-nodes=125-density=0.1-instance=5,5.266,155514,134483,0,134483,506,134483,2675,7784,5986,4347,750,0,0,5235,250,4110,6,6,1,750,625,0,0,6,1,14080,1924,3985,3985,1,,13705,5362,,13705,5362,12545,5362,,12505,5362,,13145,5362,,13127,5362,,13049,5362,,13263,5362,,13145,5362,,13487,5362,,13457,5362,,12147,5362,,69
GraphColouring,graph-colouring-nodes=125-density=0.1-instance=7,1.641,52770,45132,0,45132,186,45132,2681,7805,6001,4359,750,0,0,5250,250,4125,6,6,1,750,625,0,0,6,1,14125,1930,4000,4000,1,,13750,5377,,13750,5377,12212,5377,,11840,5377,,13154,5377,,13210,5377,,13258,5377,,13488,5377,,13736,5377,,13622,5377,,13170,5377,,12272,5377,,70
GraphColouring,graph-colouring-nodes=125-density=0.1-instance=9,0.016,118,46,0,46,0,46,2583,7462,5756,4163,750,0,0,5005,250,3880,6,6,1,750,625,0,0,6,1,13390,1832,3755,3755,1,,13015,5132,,13015,5132,12715,5132,,12563,5132,,12281,5132,,12693,5132,,12803,5132,,12793,5132,,12769,5132,,12869,5132,,12209,5132,,11527,5132,,67
GraphColouring,graph-colouring-nodes=130-density=0.1-instance=10,30.406,713151,628829,0,628829,1795,628829,2804,8173,6281,4565,780,0,0,5500,260,4330,6,6,1,780,650,0,0,6,1,14810,2023,4200,4200,1,386,14420,5632,,14420,5632,13564,5632,375,13940,5632,378,13674,5632,366,13846,5632,366,13932,5632,373,13838,5632,365,14330,5632,374,13776,5632,360,14210,5632,381,12158,5632,212,71
GraphColouring,graph-colouring-nodes=130-density=0.1-instance=2,1.266,40127,34386,0,34386,136,34386,2758,8012,6166,4473,780,0,0,5385,260,4215,6,6,1,780,650,0,0,6,1,14465,1977,4085,4085,1,387,14075,5517,,14075,5517,12439,5517,339,13357,5517,364,13013,5517,333,13399,5517,355,13525,5517,364,13807,5517,378,13871,5517,380,13667,5517,372,13791,5517,371,12461,5517,264,71
GraphColouring,graph-colouring-nodes=135-density=0.1-instance=2,161.969,2645605,2365582,0,2365582,5372,2365582,2953,8632,6626,4823,810,0,0,5815,270,4600,6,6,1,810,675,0,0,6,1,15690,2142,4465,4465,1,410,15285,5952,,15285,5952,13775,5952,365,15019,5952,399,14779,5952,393,14911,5952,396,14505,5952,376,14559,5952,389,14815,5952,391,14841,5952,394,15055,5952,399,13037,5952,235,74
HamiltonianPath,gryzzles.12.lp,0.0,249,115,1,114,1,114,1382,2319,1233,1372,1037,0,420,2057,535,729,5,5,1,732,305,427,0,5,2,3673,656,345,345,1,41,3598,2142,,3598,2142,2352,2142,7,3418,2142,34,3522,2142,38,3488,2142,35,3371,2142,33,3588,2142,38,3560,2142,37,3594,2142,39,3528,2142,33,3547,2142,37,7
HamiltonianPath,gryzzles.15,0.031,2237,967,1,966,6,966,1642,4276,2595,2997,1056,0,599,3076,1052,2176,3,3,1,145,145,144,144,3,3,3980,7062,2314,2314,2,27,10448,4731,,10448,4731,8618,4731,14,10448,4731,27,10448,4731,27,10448,4731,27,10429,4731,27,10448,4731,27,10448,4731,27,10448,4731,27,10432,4731,27,10448,4731,27,
HamiltonianPath,gryzzles.15.lp,0.031,2548,1024,3,1021,7,1021,1912,3664,1858,1712,1593,0,589,3623,727,1139,5,5,1,1142,451,691,0,5,2,5507,871,414,414,1,49,5332,2910,,5332,2910,3541,2910,11,5091,2910,40,5134,2910,43,5093,2910,46,5155,2910,49,5081,2910,47,5301,2910,52,5292,2910,50,5315,2910,50,5043,2910,50,10
